AnnotationId,MonitoringPicture,Shape,R,H,mL,mA,mV,AdjHeight,AdjWidth,cL,cA,cV
210557,KH1299H00181009.jpg,C,2.2,8.2,3.41103679885014,36.08,124.683529235672,7.18847,6.3051,6.746785,45.324022197,305.135449543068
211663,KH1391H06161208.jpg,C,1.3,4,1.89081438919656,10.4,21.237166338267,5.00286,4.94973,4.976295,24.7628062278,123.225272971137
216296,KH1537H06160910.jpg,C,0.8,7.4,1.67933458152336,11.84,14.8785828074013,6.36337,5.38424,5.873805,34.2619112888,200.547558607405
219034,KH1610H09180815.jpg,C,1.7,7.4,2.7757255360146,25.16,67.1861004896713,6.64552,6.39029,6.517905,42.4668000008,276.741509360872
219710,KH1620H09191220.jpg,C,0.9,17.2,2.40623379423504,30.96,43.768668849813,8.98159,9.17463,9.07811,82.4027650617,748.019082781977
230685,KH1815H00180602.jpg,C,1.8,8.6,3.03166460832514,30.96,87.537337699626,7.19728,7.0987,7.14799,51.091331536,365.191644180167
232418,KH1839H03180215.jpg,C,0.4,3,0.782973528233773,2.4,1.5079644737231,6.58251,7.07755,6.83003,46.5880436505,317.98871708339
234461,KH1875H00180404.jpg,C,2.1,7.1,3.15185076423309,29.82,98.36640757655,6.65384,7.56923,7.111535,50.3644453432,357.425952528641
240366,KH1944H03200119.jpg,C,0.9,6.9,1.77464450991022,12.42,17.5583613409134,6.11346,8.89397,7.503715,54.3729298362,400.935122547622
242996,KH1963H06190414.jpg,C,2.3,11,3.8750988528372,50.6,182.80927651239,8.77482,6.92968,7.85225,60.8066946576,474.162380827913
247579,KH2018H00180527.jpg,C,0.4,4.5,0.896280949311433,3.6,2.26194671058465,6.38449,4.38717,5.38583,28.0098429933,148.240206622545
248939,KH2036H00180527.jpg,C,1.7,8,2.84880425882613,27.2,72.633622150996,6.11728,6.17432,6.1458,37.7700442496,232.124638522201
251252,KH2056H09200407.jpg,C,1.7,6.4,2.64459560738318,21.76,58.1068977207968,5.39147,6.07266,5.732065,32.7405642102,187.339449126101
252794,KH2070H03190115.jpg,C,0.9,8,1.86433950357232,14.4,20.3575203952619,6.45165,5.09234,5.771995,32.853995361,188.313860748647
263397,KH2230H09190805.jpg,C,1.1,5.6,1.89230498058188,12.32,21.2874318207244,5.99365,5.44655,5.7201,32.6447144075,186.517381709418
265010,KH2243H06191119.jpg,C,0.6,36,2.34892058470132,43.2,40.7150407905237,12.5281,9.26473,10.896415,116.069463913,1250.48062710184
266624,KH2255H03190124.jpg,C,1.9,7.1,2.94841435421525,26.98,80.52216130416,7.18513,6.654,6.919565,47.80985502,330.579668703112
267938,KH2266H06190210.jpg,C,0.7,3.6,1.20827612359605,5.04,5.5417694409324,3.82215,4.03796,3.930055,15.433688814,60.632379053368
278467,KH2339H06191119.jpg,C,1.3,3.8,1.85876049533179,9.88,20.1753080213536,6.26773,4.9929,5.630315,31.294149117,175.063143064335
281131,KH2360H00190124.jpg,C,1.4,7,2.39396632534738,19.6,43.102651207252,8.35181,6.89475,7.62328,57.5836419975,436.967054198663
282986,KH2376H00190210.jpg,C,0.9,3.9,1.46729197395262,7.02,9.92429119269016,4.32721,5.34402,4.835615,23.1246967842,111.20237693657
287104,KH2419H00190930.jpg,C,0.9,6.4,1.73069948436889,11.52,16.2860163162095,7.6399,6.64831,7.144105,50.792423569,361.991525625931
287536,KH2423H06191206.jpg,C,1.9,6.2,2.81816422276404,23.56,70.3151267726468,6.66286,7.02407,6.843465,46.8003950402,320.165313112544
290808,KH2466H00190329.jpg,C,1.5,8.5,2.67424062061968,25.5,60.0829594999048,5.59481,6.4693,6.032055,36.194504333,217.752901368086
291298,KH2474H03190216.jpg,C,1.2,6.6,2.11820900119564,15.84,29.8576965797174,4.55123,5.99159,5.27141,27.2691041557,142.398792329921
291624,KH2476H03190227.jpg,C,0.8,3.7,1.33288874065838,5.92,7.43929140370063,4.18993,3.74621,3.96807,15.6963576653,62.1868171525769
292362,KH2485H06190227.jpg,C,0.6,3.9,1.11975334704517,4.68,4.41079608564007,3.62926,2.91908,3.27417,10.5941002808,34.4822915320219
295779,KH2532H06190411.jpg,C,0.8,7.7,1.701728346046,12.32,15.4817685968905,5.43676,4.87377,5.155265,26.4975177852,136.397932842787
306376,KH2632H03200407.jpg,C,2.5,9.3,3.87365544749789,46.5,182.605072989907,8.96418,8.14734,8.55576,73.0342222812,624.150917755199
308692,KH2665H09191107.jpg,C,0.9,8.5,1.9023977116155,15.3,21.6298654199657,6.18831,5.68904,5.938675,35.2055431224,208.889482013799
308793,KH2666H06191107.jpg,C,0.7,3.2,1.16175714671274,4.48,4.9260172808288,5.10371,4.80648,4.955095,24.5308800408,121.498157808342
309453,KH2680H09191210.jpg,C,1.2,4.8,1.90488126236184,11.52,21.7146884216127,4.9743,5.29463,5.134465,26.337078009,135.160996538029
309862,KH2687H09200407.jpg,C,1.5,6.6,2.45796381180194,19.8,46.6526509058084,6.5756,6.08898,6.33229,40.038696888,253.349412500293
37362,LG1781H03180127.jpg,C,1.8,11.5,3.34000884456286,41.4,117.055742272756,6.54489,8.96412,7.754505,58.6691793468,449.381324712954
